,date,season,year,month,hour,holiday,weekday,workingday,weather_cat,temp_feel,temp_actual,humidity,windspeed,rides,date_idx
47,2011-01-03,Winter,0,1,Wkdy 0-6,0,Monday,1,Pleasant,0.22,0.197,0.44,0.3582,5,3.0
48,2011-01-03,Winter,0,1,Wkdy 0-6,0,Monday,1,Pleasant,0.2,0.1667,0.44,0.4179,2,3.0
49,2011-01-03,Winter,0,1,Wkdy 0-6,0,Monday,1,Pleasant,0.16,0.1364,0.47,0.3881,1,3.0
50,2011-01-03,Winter,0,1,Wkdy 0-6,0,Monday,1,Pleasant,0.16,0.1364,0.47,0.2836,3,3.0
51,2011-01-03,Winter,0,1,Wkdy 0-6,0,Monday,1,Pleasant,0.14,0.1061,0.5,0.3881,30,3.0
52,2011-01-03,Winter,0,1,Wkdy 7,0,Monday,1,Pleasant,0.14,0.1364,0.5,0.194,64,3.0
53,2011-01-03,Winter,0,1,Wkdy 8,0,Monday,1,Pleasant,0.14,0.1212,0.5,0.2836,154,3.0
54,2011-01-03,Winter,0,1,Wkdy 9,0,Monday,1,Pleasant,0.16,0.1364,0.43,0.3881,88,3.0
55,2011-01-03,Winter,0,1,Wkdy 10-16,0,Monday,1,Pleasant,0.18,0.1667,0.43,0.2537,44,3.0
56,2011-01-03,Winter,0,1,Wkdy 10-16,0,Monday,1,Pleasant,0.2,0.1818,0.4,0.3284,51,3.0
57,2011-01-03,Winter,0,1,Wkdy 10-16,0,Monday,1,Pleasant,0.22,0.2121,0.35,0.2985,61,3.0
58,2011-01-03,Winter,0,1,Wkdy 10-16,0,Monday,1,Pleasant,0.24,0.2121,0.35,0.2836,61,3.0
59,2011-01-03,Winter,0,1,Wkdy 10-16,0,Monday,1,Pleasant,0.26,0.2424,0.3,0.2836,77,3.0
60,2011-01-03,Winter,0,1,Wkdy 10-16,0,Monday,1,Pleasant,0.26,0.2424,0.3,0.2537,72,3.0
61,2011-01-03,Winter,0,1,Wkdy 10-16,0,Monday,1,Pleasant,0.26,0.2424,0.3,0.2537,76,3.0
62,2011-01-03,Winter,0,1,Wkdy 17-18,0,Monday,1,Pleasant,0.24,0.2273,0.3,0.2239,157,3.0
63,2011-01-03,Winter,0,1,Wkdy 17-18,0,Monday,1,Pleasant,0.24,0.2576,0.32,0.1045,157,3.0
64,2011-01-03,Winter,0,1,Wkdy 19-20,0,Monday,1,Pleasant,0.2,0.2576,0.47,0.0,110,3.0
65,2011-01-03,Winter,0,1,Wkdy 19-20,0,Monday,1,Pleasant,0.2,0.2273,0.47,0.1045,52,3.0
66,2011-01-03,Winter,0,1,Wkdy 21-23,0,Monday,1,Pleasant,0.18,0.197,0.64,0.1343,52,3.0
67,2011-01-03,Winter,0,1,Wkdy 21-23,0,Monday,1,Pleasant,0.14,0.1515,0.69,0.1343,20,3.0
68,2011-01-03,Winter,0,1,Wkdy 21-23,0,Monday,1,Pleasant,0.18,0.2121,0.55,0.1045,12,3.0
69,2011-01-04,Winter,0,1,Wkdy 0-6,0,Tuesday,1,Pleasant,0.16,0.1818,0.55,0.1045,5,4.0
70,2011-01-04,Winter,0,1,Wkdy 0-6,0,Tuesday,1,Pleasant,0.16,0.1818,0.59,0.1045,2,4.0
