"","fish_caught","livebait","camper","persons","child","hours"
"1",0,0,0,1,0,21.124
"2",0,1,1,1,0,5.732
"3",0,1,0,1,0,1.323
"4",0,1,1,2,1,0.548
"5",1,1,0,1,0,1.695
"6",0,1,1,4,2,0.493
"7",0,1,0,3,1,0.033
"8",0,1,0,4,3,0.004
"9",0,0,1,3,2,0.217
"10",1,1,1,1,0,4.031
"11",0,1,0,4,1,0.145
"12",0,1,1,3,2,0.084
"13",1,0,0,3,0,4.91
"14",2,1,0,3,0,2.292
"15",0,1,1,1,0,16.787
"16",1,1,1,1,0,8.657
"17",0,1,0,4,1,0.046
"18",0,1,1,3,2,0.142
"19",1,1,1,2,1,0.83
"20",0,1,0,3,1,0.888
"21",1,1,0,4,1,1.002
"22",5,1,1,4,0,6.638
"23",0,1,1,2,1,0.745
"24",3,1,1,2,0,6.902
"25",30,1,1,3,0,4.269
"26",0,1,1,2,0,16.734
"27",13,1,1,4,0,5.241
"28",0,1,0,2,1,0.345
"29",0,1,0,1,0,1.084
"30",0,1,0,4,3,0.008
"31",0,1,0,1,0,2.514
"32",0,1,1,3,1,0.515
"33",11,1,1,4,0,33.394
"34",5,1,1,4,1,1.193
"35",0,1,1,1,0,2.164
"36",1,0,0,2,0,5.242
"37",1,1,1,2,1,0.526
"38",7,1,1,4,1,3.471
"39",0,1,1,3,1,0.103
"40",14,1,1,4,1,0.229
"41",0,1,1,1,0,20.501
"42",32,1,1,4,0,10.545
"43",0,0,0,3,2,0.046
"44",1,0,1,4,0,14.528
"45",0,1,0,4,2,0.07
"46",0,1,1,1,0,8.441
"47",0,1,1,2,1,1.355
"48",1,1,0,1,0,4.726
"49",5,1,1,2,1,1.872
"50",0,1,0,2,1,0.128
"51",1,1,1,2,1,1.329
"52",0,1,1,2,1,0.493
"53",22,1,1,4,0,4.552
"54",0,0,0,2,0,8.001
"55",15,1,1,3,0,13.864
"56",0,0,1,1,0,65.34
"57",0,1,1,1,0,8.353
"58",0,1,1,1,0,3.863
"59",5,1,1,4,1,3.53
